"";"";"Huwen|Huwelijkssluitingen|Totaal huwelijkssluitingen";"Huwen|Huwende personen|Huwende mannen";"Huwen|Huwende personen|Huwende mannen, relatief";"Huwen|Huwende personen|Huwende vrouwen";"Huwen|Huwende personen|Huwende vrouwen, relatief";"Van echt scheidende personen|Van echt scheidende mannen";"Van echt scheidende personen|Van echt scheidende mannen, relatief";"Van echt scheidende personen|Van echt scheidende vrouwen";"Van echt scheidende personen|Van echt scheidende vrouwen, relatief";"Verweduwende personen|Verweduwende mannen";"Verweduwende personen|Verweduwende mannen, relatief";"Verweduwende personen|Verweduwende vrouwen";"Verweduwende personen|Verweduwende vrouwen, relatief"
"Regio's";"Perioden";"aantal";"aantal";"per 1 000 niet-gehuwde mannen";"aantal";"per 1 000 niet-gehuwde vrouwen";"aantal";"per 1 000 gehuwde mannen";"aantal";"per 1 000 gehuwde vrouwen";"aantal";"per 1 000 gehuwde mannen";"aantal";"per 1 000 gehuwde vrouwen"
"Flevoland (PV)";"1990";"1157";"1517";"52,7";"1528";"47,3";"580";"10,0";"587";"10,1";"173";"4,7";"431";"11,4"
"Flevoland (PV)";"1991";"1138";"1524";"49,5";"1522";"44,3";"567";"9,4";"595";"9,8";"180";"4,6";"443";"11,2"
"Flevoland (PV)";"1992";"1164";"1684";"52,0";"1658";"45,6";"630";"10,0";"658";"10,3";"195";"4,7";"488";"11,6"
"Flevoland (PV)";"1993";"1158";"1674";"49,2";"1659";"43,3";"690";"10,5";"704";"10,6";"189";"4,4";"513";"11,7"
"Flevoland (PV)";"1994";"1051";"1552";"43,7";"1523";"38,0";"749";"11,0";"777";"11,3";"220";"4,9";"530";"11,7"
"Flevoland (PV)";"1995";"1006";"1540";"41,0";"1462";"34,3";"733";"10,5";"774";"11,0";"220";"4,7";"543";"11,6"
"Flevoland (PV)";"1996";"1069";"1666";"41,7";"1645";"36,1";"753";"10,5";"802";"11,1";"230";"4,8";"538";"11,2"
"Flevoland (PV)";"1997";"1053";"1675";"39,7";"1653";"34,1";"731";"9,9";"756";"10,1";"263";"5,3";"562";"11,5"
"Flevoland (PV)";"1998";"1123";"1906";"42,4";"1860";"35,7";"765";"10,0";"823";"10,6";"251";"5,0";"557";"11,1"
"Flevoland (PV)";"1999";"1289";"2044";"43,0";"1960";"35,6";"809";"10,1";"813";"10,1";"273";"5,2";"566";"11,0"
"Flevoland (PV)";"2000";"1192";"2019";"40,3";"2005";"34,6";"893";"10,9";"905";"10,9";"284";"5,3";"574";"10,9"
"Flevoland (PV)";"2001";"1237";"1990";"37,2";"1916";"31,0";"945";"11,1";"1000";"11,7";"281";"5,1";"540";"10,1"
"Flevoland (PV)";"2002";"1241";"2064";"36,5";"1978";"30,2";"931";"10,8";"937";"10,8";"298";"5,3";"639";"11,7"
"Flevoland (PV)";"2003";"1277";"2045";"34,7";"2008";"29,3";"897";"10,2";"936";"10,6";"290";"5,1";"669";"12,1"
"Flevoland (PV)";"2004";"1182";"1802";"29,5";"1792";"25,2";"853";"9,6";"913";"10,2";"271";"4,7";"590";"10,6"
"Flevoland (PV)";"2005";"1264";"1832";"29,2";"1833";"24,9";"854";"9,5";"910";"10,1";"272";"4,7";"604";"10,8"
"Flevoland (PV)";"2006";"1243";"1856";"28,8";"1823";"24,2";"837";"9,3";"867";"9,6";"294";"5,1";"681";"12,1"
"Flevoland (PV)";"2007";"1283";"1814";"27,4";"1768";"22,9";"823";"9,1";"844";"9,3";"295";"5,1";"608";"10,8"
"Flevoland (PV)";"2008";"1448";"1996";"29,1";"1972";"25,0";"899";"9,9";"930";"10,2";"325";"5,5";"558";"9,8"
"Flevoland (PV)";"2009";"1473";"1923";"27,1";"1887";"23,4";"917";"10,1";"935";"10,3";"299";"5,0";"640";"11,2"
"Flevoland (PV)";"2010";"1410";"1952";"26,8";"1859";"22,6";"871";"9,6";"911";"10,0";"326";"5,5";"644";"11,2"
"Flevoland (PV)";"2011";"1384";"1859";"24,9";"1799";"21,4";"914";"10,1";"945";"10,4";"325";"5,4";"672";"11,7"
"Flevoland (PV)";"2012";"1414";"1862";"24,3";"1813";"21,1";"904";"9,9";"945";"10,3";"321";"5,4";"624";"10,9"
"Flevoland (PV)";"2013";"1242";"1678";"21,4";"1614";"18,5";"948";"10,4";"976";"10,7";"314";"5,2";"670";"11,6"
"Flevoland (PV)";"2014";"1259";"1639";"20,5";"1641";"18,6";"996";"11,1";"1013";"11,2";"308";"5,2";"651";"11,3"
"Flevoland (PV)";"2015";"1273";"1646";"20,1";"1595";"17,8";"893";"10,0";"895";"9,9";"321";"5,4";"634";"11,0"
"Flevoland (PV)";"2016";"1279";"1673";"20,0";"1642";"18,1";"894";"10,0";"908";"10,1";"329";"5,5";"686";"11,8"
"Flevoland (PV)";"2017";"1198";"1599";"18,7";"1568";"16,9";"904";"10,1";"959";"10,6";"316";"5,2";"641";"10,9"
"Flevoland (PV)";"2018";"1324";"1749";"19,9";"1677";"17,7";"814";"9,1";"865";"9,6";"396";"6,5";"672";"11,4"
"Flevoland (PV)";"2019";"1308";"1718";"19,1";"1634";"16,9";"774";"8,6";"796";"8,7";"379";"6,2";"682";"11,5"
"Flevoland (PV)";"2020";"1165";"1377";"14,9";"1389";"14,1";"773";"8,5";"809";"8,8";"402";"6,5";"801";"13,4"
"Gelderland (PV)";"1988";"10454";"10159";"36,2";"10133";"31,9";"2584";"6,1";"2635";"6,2";"1900";"4,5";"5138";"12,3"
"Gelderland (PV)";"1989";"10611";"10345";"36,3";"10292";"32,0";"2807";"6,6";"2832";"6,7";"2083";"4,9";"5145";"12,2"
